날짜,도매요금
2009-01,13.3118
2009-03,13.3118
2009-04,13.3118
2009-06,14.6702
2009-07,14.6702
2010-09,15.629
2010-11,14.7997
2011-01,15.6008
2011-05,16.6202
2011-07,16.6202
2011-10,17.5713
2012-06,18.5981
2012-08,18.5981
2013-02,19.4547
2013-08,19.4154
2014-01,20.6161
2014-07,20.3916
2015-01,19.1145
2015-03,16.8261
2015-05,14.9638
2015-07,14.9638
2015-09,15.6829
2016-01,14.1339
2016-03,12.645
2016-05,11.7512
2016-07,11.7512
2016-11,12.5676
2017-03,13.0093
2017-05,13.5073
2017-07,13.5073
2017-11,12.0951
2018-05,12.4442
2018-07,13.0319
2019-04,13.0319
2019-05,
2019-07,14.842300000000002
2020-07,11.6892
2020-08,11.9977
2020-09,10.7819
2020-10,9.8222
2020-11,9.753
2020-12,10.5667
2021-01,11.0982
2021-02,11.9077
2021-03,12.9622
2021-04,13.1776
2021-05,11.868
2021-06,12.4353
2021-07,13.0264
2021-08,14.1091
2021-09,14.9672
2021-10,15.6784
2021-11,18.2515
2021-12,20.4466
2022-01,22.2685
2022-02,21.7685
2022-03,21.7685
2022-04,23.3485
2022-05,19.6889
2022-06,19.7539
2022-07,21.8755
2022-08,27.9252
2022-09,30.9969
2022-10,32.6238
2022-11,32.3416
2022-12,33.255
2023-01,31.2843
2023-02,30.8394
2023-03,29.7007
2023-04,23.6275
2023-05,20.6242
,20.6242
2023-06,20.3424
2023-07,21.1127
2023-08,19.9214
2023-09,19.7698
2023-10,20.4821
2023-11,18.8821
2023-12,20.1153
2024-01,22.0775
2024-02,20.0866
2024-03,20.6002
2024-04,19.1329
2024-05,20.1756
2024-06,19.6153
2024-07,20.1858
2024-08,20.2455
2024-09,20.4135
2024-10,19.991
2024-11,19.6887
2024-12,20.6617
2025-01,20.1461
2025-02,19.8549
2025-03,19.3116
2025-04,20.3179
2025-05,18.7471
2025-06,18.2884
2025-07,17.2965
2025-08,17.0729
2025-09,18.0624
2025-10,17.0781
2025-11,15.9859
2025-12,16.2467
2026-01,16.6715
2026-02,16.9712
2026-03,16.4541
